child_table,child_column,parent_table,parent_column,join_sql,source,fk_name,workstream,domain_name,join_type
CI_TD_ENTRY,ASSIGNED_TO,SC_USER_4,USER_ID,CI_TD_ENTRY.ASSIGNED_TO = SC_USER_4.USER_ID,domain_join_inventory,,Common,Bill_Segment_Exception___Domain,leftOuter
CI_TD_ENTRY,ASSIGNED_USER_ID,SC_USER_1,USER_ID,CI_TD_ENTRY.ASSIGNED_USER_ID = SC_USER_1.USER_ID,domain_join_inventory,,Common,To_Do___Domain,leftOuter
CI_TD_ENTRY,ASSIGNED_USER_ID,SC_USER_2,USER_ID,CI_TD_ENTRY.ASSIGNED_USER_ID = SC_USER_2.USER_ID,domain_join_inventory,,Common,Bill_Segment_Exception___Domain,leftOuter
CI_TD_ENTRY,COMPLETE_USER_ID,SC_USER_2,USER_ID,CI_TD_ENTRY.COMPLETE_USER_ID = SC_USER_2.USER_ID,domain_join_inventory,,Common,To_Do___Domain,leftOuter
CI_TD_ENTRY,COMPLETE_USER_ID,SC_USER_3,USER_ID,CI_TD_ENTRY.COMPLETE_USER_ID = SC_USER_3.USER_ID,domain_join_inventory,,Common,Bill_Segment_Exception___Domain,leftOuter
CI_TD_ENTRY,ENTRY_STATUS_FLG,CI_LOOKUP_VAL_L,FIELD_VALUE,CI_TD_ENTRY.ENTRY_STATUS_FLG = CI_LOOKUP_VAL_L.FIELD_VALUE,domain_join_inventory,,Common,To_Do___Domain,inner
CI_TD_ENTRY,ENTRY_STATUS_FLG,CI_LOOKUP_VAL_L_1,FIELD_VALUE,CI_TD_ENTRY.ENTRY_STATUS_FLG = CI_LOOKUP_VAL_L_1.FIELD_VALUE,domain_join_inventory,,Common,Bill_Segment_Exception___Domain,inner
CI_TD_ENTRY,ENTRY_STATUS_FLG,CI_LOOKUP_VAL_L_2,FIELD_VALUE,CI_TD_ENTRY.ENTRY_STATUS_FLG = CI_LOOKUP_VAL_L_2.FIELD_VALUE,domain_join_inventory,,Common,Usage_Transaction_Exception___Domain,inner
CI_TD_ENTRY,ENTRY_STATUS_FLG,CI_LOOKUP_VAL_L_6,FIELD_VALUE,CI_TD_ENTRY.ENTRY_STATUS_FLG = CI_LOOKUP_VAL_L_6.FIELD_VALUE,domain_join_inventory,,Common,VEE_Exception___Domain,inner
CI_TD_ENTRY,MESSAGE_CAT_NBR,CI_MSG_L,MESSAGE_CAT_NBR,CI_TD_ENTRY.MESSAGE_CAT_NBR = CI_MSG_L.MESSAGE_CAT_NBR,domain_join_inventory,,Common,To_Do___Domain,inner
CI_TD_ENTRY,MESSAGE_NBR,CI_MSG_L,MESSAGE_NBR,CI_TD_ENTRY.MESSAGE_NBR = CI_MSG_L.MESSAGE_NBR,domain_join_inventory,,Common,To_Do___Domain,inner
CI_TD_ENTRY,ROLE_ID,CI_ROLE_L,ROLE_ID,CI_TD_ENTRY.ROLE_ID = CI_ROLE_L.ROLE_ID,domain_join_inventory,,Common,Bill_Segment_Exception___Domain,inner
CI_TD_ENTRY,TD_PRIORITY_FLG,CI_LOOKUP_VAL_L_2,FIELD_VALUE,CI_TD_ENTRY.TD_PRIORITY_FLG = CI_LOOKUP_VAL_L_2.FIELD_VALUE,domain_join_inventory,,Common,Bill_Segment_Exception___Domain,inner
CI_TD_ENTRY,TD_PRIORITY_FLG,CI_LOOKUP_VAL_L_3,FIELD_VALUE,CI_TD_ENTRY.TD_PRIORITY_FLG = CI_LOOKUP_VAL_L_3.FIELD_VALUE,domain_join_inventory,,Common,Usage_Transaction_Exception___Domain,inner
CI_TD_ENTRY,TD_PRIORITY_FLG,CI_LOOKUP_VAL_L_5,FIELD_VALUE,CI_TD_ENTRY.TD_PRIORITY_FLG = CI_LOOKUP_VAL_L_5.FIELD_VALUE,domain_join_inventory,,Common,VEE_Exception___Domain,inner
CI_TD_ENTRY,TD_TYPE_CD,CI_TD_TYPE_L,TD_TYPE_CD,CI_TD_ENTRY.TD_TYPE_CD = CI_TD_TYPE_L.TD_TYPE_CD,domain_join_inventory,,Common,Bill_Segment_Exception___Domain,inner
CI_TNDR_CTL,BALANCED_USER_ID,SC_USER,USER_ID,CI_TNDR_CTL.BALANCED_USER_ID = SC_USER.USER_ID,domain_join_inventory,,Cashiering,Payment_Tender___Domain,leftOuter
