OWNER,MVIEW_NAME,REFRESH_MODE,REFRESH_METHOD,BUILD_MODE,LAST_REFRESH_TYPE,LAST_REFRESH_DATE,STALENESS
CISADM,D1_ACTIVITY_STAT_MV,DEMAND,COMPLETE,DEFERRED,NA,,UNUSABLE
CISADM,W1_PARENT_ORG_MT_VW,DEMAND,COMPLETE,IMMEDIATE,COMPLETE,2026-06-07 13:17:14,FRESH
