VIEW_OWNER,VIEW_NAME,REFERENCED_OWNER,REFERENCED_NAME,REFERENCED_TYPE
CISADM,CI_CURR_CUST_VW,CISADM,CI_MTR_CONFIG,TABLE
CISADM,CI_CURR_CUST_VW,CISADM,CI_PREM,TABLE
CISADM,CI_CURR_CUST_VW,CISADM,CI_SA,TABLE
CISADM,CI_CURR_CUST_VW,CISADM,CI_SA_SP,TABLE
CISADM,CI_CURR_CUST_VW,CISADM,CI_SP,TABLE
CISADM,CI_CURR_CUST_VW,CISADM,CI_SP_TYPE,TABLE
CISADM,CI_DEG_MONTH_VW,CISADM,CI_DEG_DAY,TABLE
CISADM,CI_DVTY_CHTY_VW,CISADM,CI_CHAR_TYPE_L,TABLE
CISADM,CI_DVTY_CHTY_VW,CISADM,CI_CHTY_DV_TTYP,TABLE
CISADM,CI_FA_ACCT_HST_VW,CISADM,CI_FA,TABLE
CISADM,CI_FA_ACCT_HST_VW,CISADM,CI_LOOKUP,VIEW
CISADM,CI_FA_ACCT_HST_VW,CISADM,CI_SA,TABLE
CISADM,CI_FA_ACCT_HST_VW,CISADM,CI_SA_SP,TABLE
CISADM,CI_FT_GL_XTR_VW,CISADM,CI_FT,TABLE
CISADM,CI_FT_GL_XTR_VW,CISADM,CI_FT_GL,TABLE
CISADM,CI_FT_PROC_VW,CISADM,CI_FT_PROC,TABLE
CISADM,CI_INSTALLATION,CISADM,C0_INSTALLATION,TABLE
CISADM,CI_INSTALLATION,CISADM,CI_INSTALL_PROD,TABLE
CISADM,CI_INSTALLATION,CISADM,F1_INSTALLATION,TABLE
CISADM,CI_ITEEVI_SP_VW,CISADM,CI_SP_ITEM_EVT,TABLE
CISADM,CI_ITEM_CHTY_VW,CISADM,CI_CHAR_ENTITY,TABLE
CISADM,CI_ITEM_CHTY_VW,CISADM,CI_CHAR_TYPE_L,TABLE
CISADM,CI_ITEM_CHTY_VW,CISADM,CI_CHTY_ITTY,TABLE
CISADM,CI_ITEM_SP_E_VW,CISADM,CI_ITEEVI_SP_VW,VIEW
CISADM,CI_ITEM_SP_E_VW,CISADM,CI_SP_ITEM_HIST,TABLE
CISADM,CI_LOOKUP,CISADM,CI_LOOKUP_VAL,TABLE
CISADM,CI_LOOKUP,CISADM,CI_LOOKUP_VAL_L,TABLE
CISADM,CI_MR_RTEGEN_VW,CISADM,CI_MR_RTE,TABLE
CISADM,CI_MR_RTEGEN_VW,CISADM,CI_MR_RTE_TYPE,TABLE
CISADM,CI_MR_STGUP2_VW,CISADM,CI_MR_STAGE_UP,TABLE
CISADM,CI_MR_STG_UP_VW,CISADM,CI_MR_STAGE_UP,TABLE
CISADM,CI_MR_ST_EXC_VW,CISADM,CI_MR_STGUP_EXC,TABLE
CISADM,CI_MR_VW,CISADM,CI_MR,TABLE
CISADM,CI_MTR_CHTY_VW,CISADM,CI_CHAR_ENTITY,TABLE
CISADM,CI_MTR_CHTY_VW,CISADM,CI_CHAR_TYPE_L,TABLE
CISADM,CI_MTR_CHTY_VW,CISADM,CI_CHTY_MTTY,TABLE
CISADM,CI_MTR_CNFG2_VW,CISADM,CI_MTR_CONFIG,TABLE
CISADM,CI_MTR_CNFG_VW,CISADM,CI_MTR_CONFIG,TABLE
CISADM,CI_NT_UP_EXC_VW,CISADM,CI_NT_UP_EXCP,TABLE
CISADM,CI_ODEVTD_ACCHST_VW,CISADM,CI_LOOKUP,VIEW
CISADM,CI_ODEVTD_ACCHST_VW,CISADM,CI_OD_EVT,TABLE
CISADM,CI_ODEVTD_ACCHST_VW,CISADM,CI_OD_EVT_DEP,TABLE
CISADM,CI_ODEVTD_ACCHST_VW,CISADM,CI_OD_PROC,TABLE
CISADM,CI_ODEVT_ACCHST_VW,CISADM,CI_LOOKUP,VIEW
CISADM,CI_ODEVT_ACCHST_VW,CISADM,CI_OD_EVT,TABLE
CISADM,CI_ODEVT_ACCHST_VW,CISADM,CI_OD_PROC,TABLE
CISADM,CI_ODPRC_ACCHST_VW,CISADM,CI_LOOKUP,VIEW
CISADM,CI_ODPRC_ACCHST_VW,CISADM,CI_OD_PROC,TABLE
CISADM,CI_OMS_DEVICE_VW,CISADM,CI_SP,TABLE
CISADM,CI_OMS_DEVICE_VW,CISADM,CI_SP_GEO,TABLE
CISADM,CI_OMS_DEVICE_VW,CISADM,CI_WFM,TABLE
CISADM,CI_OMS_DEVICE_VW,CISADM,CI_WFM_OPT,TABLE
CISADM,CI_OMS_FEEDER_VW,CISADM,CI_SP,TABLE
CISADM,CI_OMS_FEEDER_VW,CISADM,CI_SP_GEO,TABLE
CISADM,CI_OMS_FEEDER_VW,CISADM,CI_WFM,TABLE
CISADM,CI_OMS_FEEDER_VW,CISADM,CI_WFM_OPT,TABLE
CISADM,CI_OMS_PHONE_VW,CISADM,CI_PER,TABLE
CISADM,CI_OMS_PHONE_VW,CISADM,CI_PER_PHONE,TABLE
CISADM,CI_OMS_PHONE_VW,CISADM,CI_WFM,TABLE
CISADM,CI_OMS_PHONE_VW,CISADM,CI_WFM_OPT,TABLE
CISADM,CI_OMS_PRIC_VW,CISADM,CI_SP,TABLE
CISADM,CI_OMS_PRIC_VW,CISADM,CI_SP_CHAR,TABLE
CISADM,CI_OMS_PRIC_VW,CISADM,CI_WFM,TABLE
CISADM,CI_OMS_PRIC_VW,CISADM,CI_WFM_OPT,TABLE
CISADM,CI_OMS_PRIK_VW,CISADM,CI_SP,TABLE
CISADM,CI_OMS_PRIK_VW,CISADM,CI_SP_CHAR,TABLE
CISADM,CI_OMS_PRIK_VW,CISADM,CI_WFM,TABLE
CISADM,CI_OMS_PRIK_VW,CISADM,CI_WFM_OPT,TABLE
CISADM,CI_OMS_PRIM_VW,CISADM,CI_SP,TABLE
CISADM,CI_OMS_PRIM_VW,CISADM,CI_SP_CHAR,TABLE
CISADM,CI_OMS_PRIM_VW,CISADM,CI_WFM,TABLE
CISADM,CI_OMS_PRIM_VW,CISADM,CI_WFM_OPT,TABLE
CISADM,CI_PAY_TND_VW,CISADM,CI_PAY_TNDR,TABLE
CISADM,CI_PAY_VW,CISADM,CI_PAY,TABLE
CISADM,CI_PA_ACCT_HST_VW,CISADM,CI_LOOKUP,VIEW
CISADM,CI_PA_ACCT_HST_VW,CISADM,CI_SA,TABLE
CISADM,CI_PA_ACCT_HST_VW,CISADM,CI_SA_TYPE,TABLE
CISADM,CI_PER_PRIM_VW,CISADM,CI_PER_NAME,TABLE
CISADM,CI_PP_ACCT_HST_VW,CISADM,CI_CURRENCY_CD,TABLE
CISADM,CI_PP_ACCT_HST_VW,CISADM,CI_LOOKUP,VIEW
CISADM,CI_PP_ACCT_HST_VW,CISADM,CI_PP,TABLE
CISADM,CI_PP_ACCT_HST_VW,CISADM,CI_PP_SCHED_PAY,TABLE
CISADM,CI_RC_ACCT_HIS_VW,CISADM,CI_LOOKUP,VIEW
CISADM,CI_RC_ACCT_HIS_VW,CISADM,CI_REBATE_CLAIM,TABLE
CISADM,CI_RC_ACCT_HIS_VW,CISADM,CI_REBATE_CLAIM_LOG,TABLE
CISADM,CI_REGRD_SEL_VW,CISADM,CI_REG_READ,TABLE
CISADM,CI_ROOT_OBJ_VW,CISADM,CI_ROOT_OBJ,TABLE
CISADM,CI_ROOT_OBJ_VW,CISADM,CI_ROOT_OBJ_PK,TABLE
CISADM,CI_RV_BF_RDR_VW,CISADM,CI_BF,TABLE
CISADM,CI_RV_BF_RDR_VW,CISADM,CI_BF_L,TABLE
CISADM,CI_RV_BF_RDR_VW,CISADM,CI_RC,TABLE
