KEYWORD_BUCKET,TABLE_NAME,MATCHED_COLUMN_COUNT,EXAMPLE_COLUMN
BILLING,CI_BILL_CYC_L,1,BILL_CYC_CD
BILLING,CI_BILL_CYC_SCH,1,BILL_CYC_CD
BILLING,CI_BILL_CYC_SEC,1,BILL_CYC_CD
BILLING,CI_BILL_K,1,BILL_ID
BILLING,CI_BILL_MSG,1,BILL_MSG_CD
BILLING,CI_BILL_PERIOD,1,BILL_PERIOD_CD
BILLING,CI_BILL_PERIOD_L,1,BILL_PERIOD_CD
BILLING,CI_BILL_RT_TYPE_L,1,BILL_RTE_TYPE_CD
BILLING,CI_BILL_SA,1,BILL_ID
BILLING,CI_BILL_SCNR,1,BILL_SCNR_ID
BILLING,CI_BILL_SCNR_K,1,BILL_SCNR_ID
BILLING,CI_BILL_SCNR_SQ,1,BILL_SCNR_ID
BILLING,CI_BILL_SEG_TYP,1,BILL_SEG_TYPE_CD
BILLING,CI_BILL_SEG_TYP_L,1,BILL_SEG_TYPE_CD
BILLING,CI_BPRT_GRP,1,BILL_PRT_GRP_CD
BILLING,CI_BPRT_GRP_K,1,BILL_PRT_GRP_CD
BILLING,CI_BSEG_CL_CHAR,1,BSEG_ID
BILLING,CI_BSEG_ITEM,1,BSEG_ID
BILLING,CI_BSEG_K,1,BSEG_ID
BILLING,CI_BSEG_READ,1,BSEG_ID
BILLING,CI_BSEG_READ_VW,1,BSEG_ID
BILLING,CI_B_CHG_TMPLT,1,BILL_CHG_TMPLT_CD
BILLING,CI_B_LN_CHAR,1,BILLABLE_CHG_ID
BILLING,CI_B_TMPLT_SQ,1,BILL_CHG_TMPLT_CD
BILLING,CI_B_TM_LN_CHA,1,BILL_CHG_TMPLT_CD
BILLING,CI_CUST_CL_MSG,1,BILL_MSG_CD
BILLING,CI_DEP_CL_L,1,RFND_DESCR_ON_BILL
BILLING,CI_MR,1,USE_ON_BILL_SW
BILLING,CI_MR_CYC,1,BILL_CYC_CD
BILLING,CI_MR_REM_BMSG,1,BILL_MSG_CD
BILLING,CI_MR_STAGE_UP,1,USE_ON_BILL_SW
BILLING,CI_RC,1,CRE_BILL_LN_SW
BILLING,CI_RS_BMSG,1,BILL_MSG_CD
BILLING,CI_SPR,1,BILL_REL_FLG
BILLING,CI_SPR_BMSG,1,BILL_MSG_CD
BILLING,CI_STM_DTL,1,BILL_ID
BILLING,D1_BILL_CYC_CHAR,1,D1_BILL_CYC_CD
BILLING,D1_BILL_CYC_L,1,D1_BILL_CYC_CD
BILLING,D1_BILL_CYC_SCH,1,D1_BILL_CYC_CD
BILLING,D1_MSRMT_CYC_BILL_CYC,1,D1_BILL_CYC_CD
BILLING,D1_US,1,D1_BILL_CYC_CD
BILLING,W1_EMPLOYEE_BILLABLE_RATE,1,BILLABLE_RATE
BILLING,X1_BI_USG_EXCEPTION_VW,1,CCB_BILL_CYC_CD
BILLING,X1_BI_VEE_EXCEPTION_VW,1,CCB_BILL_CYC_CD
COLLECTIONS,C1_BI_COLLPROC_VW,28,ACTIVE_COLL_PROC_CNT
COLLECTIONS,CI_COLL_PROC,7,COLL_ARS_DT
COLLECTIONS,CI_COLL_PROC_1031,7,COLL_ARS_DT
COLLECTIONS,WO_PROC_RPT_CURR,4,COLL_CL_CD
COLLECTIONS,C1_BI_WOPROC_VW,3,UNCOLL_PROC_DUR
COLLECTIONS,CI_COLL_CRIT,3,COLL_CAT_PRIO_FLG
COLLECTIONS,CI_COLL_CRIT_CT,3,COLL_CAT_PRIO_FLG
COLLECTIONS,CI_COLL_EVT,3,COLL_EVT_STAT_FLG
COLLECTIONS,CI_COLL_EVT_1031,3,COLL_EVT_STAT_FLG
COLLECTIONS,CI_COLL_EVT_TYP,3,COLL_EVT_ALG_CD
COLLECTIONS,ACCT_CUSTOMER_RPT_CURR,2,COLL_CL_CD
COLLECTIONS,BILLABLE_CHARGE_RPT_CURR,2,COLL_CL_CD
COLLECTIONS,BSEG_BILLED_USAGE_RPT_CURR,2,COLL_CL_CD
COLLECTIONS,BSEG_SQ_USAGE_RPT_CURR,2,COLL_CL_CD
COLLECTIONS,CASE_PREM_CONTACT_RPT_CURR,2,COLL_CL_CD
COLLECTIONS,CI_COLL_AGY_REF,2,COLL_AGY_CD
COLLECTIONS,CI_COLL_CL,2,COLL_CL_CD
COLLECTIONS,CI_COLL_CL_CNTL,2,COLL_CL_CD
COLLECTIONS,CI_COLL_PROC_SA,2,COLL_PROC_ID
COLLECTIONS,CI_COLL_PROC_SA_1031,2,COLL_PROC_ID
COLLECTIONS,CI_COLL_RESP,2,COLL_EVT_TYP_CD
COLLECTIONS,D1_USAGE_RPT_CURR,2,COLL_CL_CD
COLLECTIONS,D1_USAGE_SCALAR_DTL_RPT_CURR,2,COLL_CL_CD
COLLECTIONS,FIELD_ACTIVITY_RPT_CURR,2,ACCT_COLL_CL_CD
COLLECTIONS,FT_GL_DISTRIBUTION_RPT_CURR,2,COLL_CL_CD
COLLECTIONS,FT_RPT_CURR,2,COLL_CL_CD
COLLECTIONS,NEW_SERVICE_PIPELINE_RPT_CURR,2,COLL_CL_CD
COLLECTIONS,OPS_EXCEPTION_RPT_CURR,2,COLL_CL_CD
COLLECTIONS,SA_AGED_BAL_RPT_CURR,2,COLL_CL_CD
COLLECTIONS,C1_BI_COLLEVTTYPE_VW,1,COLLECTIBLE_EVT_TYPE_CD
COLLECTIONS,C1_BI_SEVPROC_VW,1,COLL_PROC_ID
COLLECTIONS,C1_CS_REQ_ACCT,1,COLL_CL_CD
COLLECTIONS,CI_ACCT,1,COLL_CL_CD
COLLECTIONS,CI_COLL_AGY,1,COLL_AGY_CD
COLLECTIONS,CI_COLL_AGY_HIS,1,COLL_AGY_REF_ID
COLLECTIONS,CI_COLL_AGY_L,1,COLL_AGY_CD
COLLECTIONS,CI_COLL_AGY_REF_K,1,COLL_AGY_REF_ID
COLLECTIONS,CI_COLL_CL_CNTL_L,1,COLL_CL_CNTL_CD
COLLECTIONS,CI_COLL_CL_L,1,COLL_CL_CD
COLLECTIONS,CI_COLL_EVT_CC,1,COLL_PROC_ID
COLLECTIONS,CI_COLL_EVT_CC_1031,1,COLL_PROC_ID
COLLECTIONS,CI_COLL_EVT_TYP_L,1,COLL_EVT_TYP_CD
COLLECTIONS,CI_COLL_PROC_K,1,COLL_PROC_ID
COLLECTIONS,CI_COLL_PROC_K_1031,1,COLL_PROC_ID
COLLECTIONS,CI_COLL_PROC_TM,1,COLL_PROC_TMPL_CD
COLLECTIONS,CI_COLL_PROC_TM_L,1,COLL_PROC_TMPL_CD
COLLECTIONS,CI_CR_RAT_HIST,1,COLL_PROC_ID
COLLECTIONS,CI_CUST_CL,1,COLL_CL_CD
COLLECTIONS,CI_DEBT_CL,1,ELIG_FOR_COLL_SW
COLLECTIONS,CI_LANGUAGE,1,COLLATOR_STRENGTH
COLLECTIONS,CI_OD_RULE_ALG,1,COLL_CL_CD
COLLECTIONS,CI_PORTAL_ZONE,1,ZONE_COLLAPSED_SW
COLLECTIONS,CI_SEV_PROC,1,COLL_PROC_ID
COLLECTIONS,CI_SEV_PROC_1031,1,COLL_PROC_ID
COLLECTIONS,CI_USR_ZONE,1,ZONE_COLLAPSED_SW
COLLECTIONS,CI_WO_CNTL,1,COLL_CL_CD
CUSTOMER,CASE_PREM_CONTACT_RPT_CURR,13,ACCT_ALERT_INFO
CUSTOMER,CI_ENRL,9,ACCT_CIS_DIV
CUSTOMER,FIELD_ACTIVITY_RPT_CURR,8,ACCT_COLL_CL_CD
CUSTOMER,ACCT_CUSTOMER_RPT_CURR,6,ACCT_ID
CUSTOMER,C1_CS_REQ_ACCT,6,ACCT_DATA_AREA
CUSTOMER,C1_CS_REQ_ACCT_PER,6,ACCT_REL_TYPE_CD
CUSTOMER,C1_CS_REQ_PER,6,CS_REQ_PER_ACT_FLG
CUSTOMER,C1_PER_SS_PAYOPT,6,ENCR_EXT_ACCT_ID
CUSTOMER,F1_CALENDAR_D,6,F1_FISC_PERIOD_END_DT
CUSTOMER,F1_CAL_FISC_PERIOD_D,6,F1_FISC_PERIOD_END_DT
CUSTOMER,NEW_SERVICE_PIPELINE_RPT_CURR,6,ACCT_ID
CUSTOMER,C1_WEB_USER_ACCT,5,ACCT_ID
CUSTOMER,D1_USAGE_SCALAR_DTL_RPT_CURR,5,ACCT_ID
CUSTOMER,FT_GL_DISTRIBUTION_RPT_CURR,5,ACCT_ID
CUSTOMER,W1_PERMIT_TMPL,5,PERMIT_BUS_OBJ_CD
CUSTOMER,C1_CS_REQ_ACCT_APAY,4,ACCT_APAY_ID
CUSTOMER,C1_CS_REQ_PER_ID,4,CS_REQ_PER_ID
CUSTOMER,C1_CS_REQ_PER_PER,4,CS_REQ_PER_ID
CUSTOMER,C1_CS_REQ_SA,4,ACCT_ID
CUSTOMER,C1_CS_REQ_TYPE,4,COOL_OFF_PERIOD
CUSTOMER,CI_ACCT_APAY,4,ACCT_APAY_ID
CUSTOMER,CI_DST_CODE,4,ACCTNG_METH_FLG
CUSTOMER,CI_PER_ID,4,ENCR_PER_ID_NBR
CUSTOMER,D1_USAGE_RPT_CURR,4,ACCT_ID
CUSTOMER,SA_AGED_BAL_RPT_CURR,4,ACCT_ID
CUSTOMER,WO_PROC_RPT_CURR,4,ACCT_ID
CUSTOMER,BSEG_BILLED_USAGE_RPT_CURR,3,ACCT_ID
CUSTOMER,BSEG_SQ_USAGE_RPT_CURR,3,ACCT_ID
CUSTOMER,C1_BI_FTGL_VW,3,ACCT_ID
CUSTOMER,CI_ACCT,3,ACCT_DATA_AREA
CUSTOMER,CI_ACCT_PER,3,ACCT_ID
CUSTOMER,CI_APAY_CLR_STG,3,ACCT_APAY_ID
CUSTOMER,CI_CAMPAIGN,3,ACCT_MGMT_GRP_CD
CUSTOMER,CI_CASE,3,ACCT_ID
CUSTOMER,CI_ENRL_PER_ID,3,ENCR_PER_ID_NBR
CUSTOMER,CI_PER,3,PER_DATA_AREA
CUSTOMER,CI_PER_PER,3,PER_ID1
CUSTOMER,CI_PEVT_DTL_ST,3,ACCT_ID
CUSTOMER,CI_SA,3,ACCT_ID
CUSTOMER,CI_SA_BK_1102,3,ACCT_ID
CUSTOMER,F1_IWS_SVC_OPER_PARM,3,OPERATION_NAME
CUSTOMER,F1_PERF_TGT_TYPE,3,PERF_TARGET_BO_CD
CUSTOMER,F1_WEB_SVC_OPERATIONS,3,OPERATION_ACTIVE_FLG
CUSTOMER,FT_RPT_CURR,3,ACCT_ID
CUSTOMER,OPS_EXCEPTION_RPT_CURR,3,ACCT_ID
