OWNER,SYNONYM_NAME,TABLE_OWNER,TABLE_NAME,DB_LINK
BATCHUSER,C1_CS_REQ_ACCT_LOG,CISADM,C1_CS_REQ_ACCT_LOG,
BATCHUSER,C1_CS_REQ_ACCT_LOG_PARM,CISADM,C1_CS_REQ_ACCT_LOG_PARM,
BATCHUSER,C1_CS_REQ_ACCT_MSG,CISADM,C1_CS_REQ_ACCT_MSG,
BATCHUSER,C1_CS_REQ_ACCT_MSG_PARM,CISADM,C1_CS_REQ_ACCT_MSG_PARM,
BATCHUSER,C1_CS_REQ_ACCT_NCD,CISADM,C1_CS_REQ_ACCT_NCD,
BATCHUSER,C1_CS_REQ_ACCT_PER,CISADM,C1_CS_REQ_ACCT_PER,
BATCHUSER,C1_CS_REQ_ACCT_PER_ADDR,CISADM,C1_CS_REQ_ACCT_PER_ADDR,
BATCHUSER,C1_CS_REQ_ACCT_PER_K,CISADM,C1_CS_REQ_ACCT_PER_K,
BATCHUSER,C1_CS_REQ_CHAR,CISADM,C1_CS_REQ_CHAR,
BATCHUSER,C1_CS_REQ_CONT,CISADM,C1_CS_REQ_CONT,
BATCHUSER,C1_CS_REQ_CONT_CHAR,CISADM,C1_CS_REQ_CONT_CHAR,
BATCHUSER,C1_CS_REQ_CONT_ID,CISADM,C1_CS_REQ_CONT_ID,
BATCHUSER,C1_CS_REQ_CONT_K,CISADM,C1_CS_REQ_CONT_K,
BATCHUSER,C1_CS_REQ_CONT_LOG,CISADM,C1_CS_REQ_CONT_LOG,
BATCHUSER,C1_CS_REQ_CONT_LOG_PARM,CISADM,C1_CS_REQ_CONT_LOG_PARM,
BATCHUSER,C1_CS_REQ_CONT_MS,CISADM,C1_CS_REQ_CONT_MS,
BATCHUSER,C1_CS_REQ_CONT_MS_PROD,CISADM,C1_CS_REQ_CONT_MS_PROD,
BATCHUSER,C1_CS_REQ_CONT_PROD,CISADM,C1_CS_REQ_CONT_PROD,
BATCHUSER,C1_CS_REQ_CONT_PROD_CHAR,CISADM,C1_CS_REQ_CONT_PROD_CHAR,
BATCHUSER,C1_CS_REQ_CONT_PROD_K,CISADM,C1_CS_REQ_CONT_PROD_K,
BATCHUSER,C1_CS_REQ_CONT_PROD_LOG,CISADM,C1_CS_REQ_CONT_PROD_LOG,
BATCHUSER,C1_CS_REQ_CONT_PROD_LOG_PARM,CISADM,C1_CS_REQ_CONT_PROD_LOG_PARM,
BATCHUSER,C1_CS_REQ_K,CISADM,C1_CS_REQ_K,
BATCHUSER,C1_CS_REQ_LOG,CISADM,C1_CS_REQ_LOG,
BATCHUSER,C1_CS_REQ_LOG_PARM,CISADM,C1_CS_REQ_LOG_PARM,
BATCHUSER,C1_CS_REQ_PER,CISADM,C1_CS_REQ_PER,
BATCHUSER,C1_CS_REQ_PER_ADDR_SEAS,CISADM,C1_CS_REQ_PER_ADDR_SEAS,
BATCHUSER,C1_CS_REQ_PER_CHAR,CISADM,C1_CS_REQ_PER_CHAR,
BATCHUSER,C1_CS_REQ_PER_CONTDET,CISADM,C1_CS_REQ_PER_CONTDET,
