INDEX_OWNER,TABLE_NAME,INDEX_NAME,COLUMN_POSITION,COLUMN_NAME,DESCEND
CISADM,W1_MEASUREMENT_UOM_CHAR,W1C525S1,1,SRCH_CHAR_VAL,ASC
CISADM,W1_MEASUREMENT_UOM_L,W1C524P0,1,MEASUREMENT_UOM_CD,ASC
CISADM,W1_MEASUREMENT_UOM_L,W1C524P0,2,LANGUAGE_CD,ASC
CISADM,W1_MOBILE_SUBSCR,W1T815P0,1,MOBILE_SUBSCR_ID,ASC
CISADM,W1_MOBILE_SUBSCR_CHAR,W1T816P0,1,MOBILE_SUBSCR_ID,ASC
CISADM,W1_MOBILE_SUBSCR_CHAR,W1T816P0,2,CHAR_TYPE_CD,ASC
CISADM,W1_MOBILE_SUBSCR_CHAR,W1T816P0,3,SEQ_NUM,ASC
CISADM,W1_MOBILE_SUBSCR_CHAR,W1T816S1,1,SRCH_CHAR_VAL,ASC
CISADM,W1_MOBILE_SUBSCR_K,W1T819P0,1,MOBILE_SUBSCR_ID,ASC
CISADM,W1_MOBILE_SUBSCR_K,W1T819P0,2,ENV_ID,ASC
CISADM,W1_MOBILE_SUBSCR_LOG,W1T817P0,1,MOBILE_SUBSCR_ID,ASC
CISADM,W1_MOBILE_SUBSCR_LOG,W1T817P0,2,SEQNO,ASC
CISADM,W1_MOBILE_SUBSCR_LOG,W1T817S1,1,CHAR_TYPE_CD,ASC
CISADM,W1_MOBILE_SUBSCR_LOG,W1T817S1,2,CHAR_VAL_FK1,ASC
CISADM,W1_MOBILE_SUBSCR_LOG,W1T817S2,1,CHAR_TYPE_CD,ASC
CISADM,W1_MOBILE_SUBSCR_LOG,W1T817S2,2,CHAR_VAL,ASC
CISADM,W1_MOBILE_SUBSCR_LOG_PARM,W1T818P0,1,MOBILE_SUBSCR_ID,ASC
CISADM,W1_MOBILE_SUBSCR_LOG_PARM,W1T818P0,2,SEQNO,ASC
CISADM,W1_MOBILE_SUBSCR_LOG_PARM,W1T818P0,3,PARM_SEQ,ASC
CISADM,W1_NODE,W1M205P0,1,NODE_ID,ASC
CISADM,W1_NODE,W1M205S0,1,POSTAL,ASC
CISADM,W1_NODE,W1M205S0,2,NODE_DPOS_FLG,ASC
CISADM,W1_NODE,W1M205S1,1,W1_DESCR100_UPR,ASC
CISADM,W1_NODE,W1M205S10,1,NODE_TYPE_CD,ASC
CISADM,W1_NODE,W1M205S10,2,NODE_DPOS_FLG,ASC
CISADM,W1_NODE,W1M205S11,1,BUILDING,ASC
CISADM,W1_NODE,W1M205S2,1,NODE_TYPE_CD,ASC
CISADM,W1_NODE,W1M205S2,2,NODE_ID,ASC
