OWNER,TABLE_NAME,PARTITION_NAME,OBJECT_TYPE,NUM_ROWS,BLOCKS,AVG_ROW_LEN,SAMPLE_SIZE,LAST_ANALYZED,STALE_STATS,GLOBAL_STATS,USER_STATS
CISADM,D1_MKT_CONTRACT,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_CONTRACT_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_CONTRACT_IDENTIFIER,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_CONTRACT_K,,TABLE,0,,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_CONTRACT_LOG,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_CONTRACT_LOG_PARM,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_CONTRACT_TYPE,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_CONTRACT_TYPE_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_CONTRACT_TYPE_L,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_FALLBACK_SPR,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_L,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_PRODUCT,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_PRODUCT_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_PRODUCT_IDENTIFIER,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_PRODUCT_K,,TABLE,0,,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_PRODUCT_L,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_PRODUCT_LOG,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_PRODUCT_LOG_PARM,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_PRODUCT_SET,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_PRODUCT_SET_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_PRODUCT_SET_L,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_PRODUCT_TYPE,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_PRODUCT_TYPE_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_PRODUCT_TYPE_L,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_REL_TYPE,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_RP,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_RP_ATTR,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_RP_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_RP_IDENTIFIER,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_RP_K,,TABLE,0,,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_RP_LOG,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_RP_LOG_PARM,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_RP_REL,,TABLE,0,0,0,0,2026-02-03 17:47:25,NO,YES,NO
CISADM,D1_MKT_RP_REL_OBJ,,TABLE,0,0,0,0,2026-02-03 17:47:26,NO,YES,NO
CISADM,D1_MKT_VALID_SPR,,TABLE,0,0,0,0,2026-02-03 17:47:26,NO,YES,NO
CISADM,D1_MODEL,,TABLE,58,8,33,58,2026-02-03 17:47:26,NO,YES,NO
CISADM,D1_MODEL_L,,TABLE,116,8,47,116,2026-02-03 17:47:26,NO,YES,NO
CISADM,D1_MSRMT,,TABLE,10409822,226995,151,10409822,2026-05-28 05:00:31,NO,YES,NO
CISADM,D1_MSRMT_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:43,NO,YES,NO
CISADM,D1_MSRMT_CYC,,TABLE,9,4,106,9,2026-02-04 05:00:40,NO,YES,NO
CISADM,D1_MSRMT_CYC_BILL_CYC,,TABLE,9,4,14,9,2026-02-03 17:47:43,NO,YES,NO
CISADM,D1_MSRMT_CYC_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:43,NO,YES,NO
CISADM,D1_MSRMT_CYC_L,,TABLE,18,8,37,18,2026-02-03 17:47:43,NO,YES,NO
CISADM,D1_MSRMT_CYC_MCR,,TABLE,9,4,42,9,2026-02-04 05:00:37,NO,YES,NO
CISADM,D1_MSRMT_CYC_RTE,,TABLE,74,5,59,74,2026-02-04 05:00:39,NO,YES,NO
CISADM,D1_MSRMT_CYC_RTE_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:43,NO,YES,NO
CISADM,D1_MSRMT_CYC_RTE_L,,TABLE,148,8,29,148,2026-02-03 17:47:43,NO,YES,NO
CISADM,D1_MSRMT_CYC_SCHED,,TABLE,217,8,81,217,2026-02-04 05:00:37,NO,YES,NO
CISADM,D1_MSRMT_CYC_SCHED_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:43,NO,YES,NO
CISADM,D1_MSRMT_CYC_SCHED_RTE,,TABLE,1275,11,33,1275,2026-02-03 17:47:43,NO,YES,NO
CISADM,D1_MSRMT_DATA_SNAP_TYPE,,TABLE,0,0,0,0,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_MSRMT_DATA_SNAP_TYPE_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_MSRMT_DATA_SNAP_TYPE_L,,TABLE,0,0,0,0,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_MSRMT_LOG,,TABLE,3220,3198,3693,3220,2026-02-04 05:01:03,NO,YES,NO
CISADM,D1_MSRMT_LOG_PARM,,TABLE,0,0,0,0,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_MSRMT_RPT_CURR,,TABLE,10409822,711264,527,10409822,2026-05-23 05:00:47,NO,YES,NO
CISADM,D1_MSRMT_TMP,,TABLE,,,,,,,NO,NO
CISADM,D1_MULTI_VAR_FACTOR,,TABLE,0,0,0,0,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_MULTI_VAR_FACTOR_L,,TABLE,0,0,0,0,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_MULTI_VAR_FACTOR_VAL,,TABLE,0,0,0,0,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_MULTI_VAR_FACTOR_VAL_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_NW_LOC,,TABLE,0,0,0,0,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_NW_LOC_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_NW_LOC_IDENTIFIER,,TABLE,0,0,0,0,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_NW_LOC_K,,TABLE,0,,0,0,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_NW_LOC_LOG,,TABLE,0,0,0,0,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_NW_LOC_LOG_PARM,,TABLE,0,0,0,0,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_NW_NODE,,TABLE,0,0,0,0,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_OBIEE_EVENT_POLLING,,TABLE,0,0,0,0,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_ON_OFF_HIST,,TABLE,2507,35,80,2507,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_PROC_MTHD,,TABLE,19,4,323,19,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_PROC_MTHD_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_PROC_MTHD_L,,TABLE,38,8,41,38,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_PROC_TIMETABLE_TYPE,,TABLE,0,0,0,0,2026-02-03 17:47:44,NO,YES,NO
CISADM,D1_PROC_TIMETABLE_TYPE_L,,TABLE,0,0,0,0,2026-02-03 17:47:45,NO,YES,NO
CISADM,D1_REFERENCED_MKT_PRODUCT,,TABLE,0,0,0,0,2026-02-03 17:47:45,NO,YES,NO
CISADM,D1_RULE,,TABLE,0,0,0,0,2026-02-03 17:47:45,NO,YES,NO
CISADM,D1_RULE_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:45,NO,YES,NO
CISADM,D1_RULE_L,,TABLE,0,0,0,0,2026-02-03 17:47:45,NO,YES,NO
CISADM,D1_SETT_UNIT,,TABLE,0,0,0,0,2026-02-03 17:47:45,NO,YES,NO
CISADM,D1_SETT_UNIT_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:45,NO,YES,NO
CISADM,D1_SETT_UNIT_DIMENSION,,TABLE,0,0,0,0,2026-02-03 17:47:45,NO,YES,NO
CISADM,D1_SETT_UNIT_DIM_COMB,,TABLE,0,0,0,0,2026-02-03 17:47:45,NO,YES,NO
CISADM,D1_SETT_UNIT_DIM_VAL,,TABLE,0,0,0,0,2026-02-03 17:47:45,NO,YES,NO
CISADM,D1_SETT_UNIT_L,,TABLE,0,0,0,0,2026-02-03 17:47:45,NO,YES,NO
CISADM,D1_SNAPSHOT_DL_CTRL,,TABLE,0,0,0,0,2026-02-03 17:47:45,NO,YES,NO
CISADM,D1_SP,,TABLE,3305,244,411,3305,2026-06-06 05:00:36,NO,YES,NO
CISADM,D1_SPR,,TABLE,6,8,564,6,2026-03-28 05:00:11,NO,YES,NO
CISADM,D1_SPR_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:45,NO,YES,NO
CISADM,D1_SPR_DT_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:45,NO,YES,NO
CISADM,D1_SPR_L,,TABLE,12,8,26,12,2026-02-03 17:47:45,NO,YES,NO
CISADM,D1_SP_CHAR,,TABLE,3778,43,65,3778,2026-02-03 17:47:45,NO,YES,NO
CISADM,D1_SP_CONTACT,,TABLE,3172,20,34,3172,2026-02-03 17:47:45,NO,YES,NO
CISADM,D1_SP_EQPMNT,,TABLE,2626,20,44,2626,2026-02-03 17:47:45,NO,YES,NO
CISADM,D1_SP_FACILITY,,TABLE,0,0,0,0,2026-02-03 17:47:46,NO,YES,NO
CISADM,D1_SP_IDENTIFIER,,TABLE,9915,58,45,9915,2026-02-03 17:47:46,NO,YES,NO
CISADM,D1_SP_K,,TABLE,3305,,18,3305,2026-02-03 17:47:46,NO,YES,NO
CISADM,D1_SP_LOG,,TABLE,3305,65,106,3305,2026-02-03 17:47:46,NO,YES,NO
