OWNER,TABLE_NAME,INDEX_NAME,UNIQUENESS,INDEX_TYPE,STATUS,VISIBILITY,TABLESPACE_NAME,PARTITIONED,LAST_ANALYZED
CISADM,D1_SP_QTY_TYPE_IDENTIFIER,D1C546P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:44
CISADM,D1_SP_QTY_TYPE_IDENTIFIER_L,D1C548P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:25:54
CISADM,D1_SP_QTY_TYPE_L,D1C547P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:03
CISADM,D1_SP_REL,D1M317P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:08:09
CISADM,D1_SP_REL,D1M317S1,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:08:09
CISADM,D1_SP_SNAP_DL,D1T434P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:15:07
CISADM,D1_SP_SNAP_DL,D1T434S0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:15:07
CISADM,D1_SP_SNAP_DL_K,D1T435P0,UNIQUE,IOT - TOP,VALID,VISIBLE,CISTS_01,NO,2026-01-07 21:32:43
CISADM,D1_SP_TYPE,D1C189P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-02-21 22:16:50
CISADM,D1_SP_TYPE_CHAR,D1C191P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:04
CISADM,D1_SP_TYPE_CHAR,D1C191S1,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:04
CISADM,D1_SP_TYPE_DEVICE_TYPE,D1C192P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:05:31
CISADM,D1_SP_TYPE_DISCONNECT_LOCATION,D1C637P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:25:49
CISADM,D1_SP_TYPE_DIV,D1C635P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:05:29
CISADM,D1_SP_TYPE_FIELD_TASK_TYPE,D1M630P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:08:08
CISADM,D1_SP_TYPE_L,D1C190P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-29 02:18:01
CISADM,D1_SP_UNR_USG_SNAP_DL,D1T438P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:11:52
CISADM,D1_SP_UNR_USG_SNAP_DL,D1T438S0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:11:52
CISADM,D1_SP_UNR_USG_SNAP_DL_K,D1T439P0,UNIQUE,IOT - TOP,VALID,VISIBLE,CISTS_01,NO,2026-01-07 21:32:43
CISADM,D1_SP_USG_SNAP_DL,D1T436P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:10:47
