section,domain_name,Payment_Tender___Domain
section,workstream,Cashiering

PHYSICAL_TABLES
domain_table_alias,physical_table
CI_PAY_EVENT,CI_PAY_EVENT
CI_PAY_TNDR,CI_PAY_TNDR
CI_PAY_TND_VW,CI_PAY_TND_VW
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
CI_ACCT_PER,CI_ACCT_PER
CI_TENDER_TYPE_L,CI_TENDER_TYPE_L
CI_PAY_CAN_RSN_L,CI_PAY_CAN_RSN_L
CI_TNDR_CTL,CI_TNDR_CTL
CI_TNDR_SRCE_L,CI_TNDR_SRCE_L
SC_USER,SC_USER
SC_USER_1,SC_USER
CI_PER_NAME,CI_PER_NAME
JoinTree_1,CI_PAY_TNDR

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
1.) Tender Control,Batch Number,JoinTree_1.CI_TNDR_CTL,BATCH_NBR,Dimension,None
1.) Tender Control,Comments,JoinTree_1.CI_TNDR_CTL,COMMENTS,,
1.) Tender Control,Create Date/Time,JoinTree_1.CI_TNDR_CTL,CRE_DTTM,,
1.) Tender Control,Currency Code,JoinTree_1.CI_TNDR_CTL,CURRENCY_CD,,
1.) Tender Control,Deposit Control ID,JoinTree_1.CI_TNDR_CTL,DEP_CTL_ID,,
1.) Tender Control,Ending Balance,JoinTree_1.CI_TNDR_CTL,END_BALANCE,,
1.) Tender Control,External Transmission ID,JoinTree_1.CI_TNDR_CTL,EXT_TRANSMIT_ID,,
1.) Tender Control,Starting Balance,JoinTree_1.CI_TNDR_CTL,START_BALANCE,,
1.) Tender Control,Tender Control ID,JoinTree_1.CI_TNDR_CTL,TNDR_CTL_ID,,
1.) Tender Control,Status         ,JoinTree_1.CI_TNDR_CTL,TNDR_CTL_ST_FLG,,
1.) Tender Control,Tender Source,JoinTree_1.CI_TNDR_CTL,TNDR_SOURCE_CD,,
1.) Tender Control,User,JoinTree_1.CI_TNDR_CTL,USER_ID,,
1.) Description,Cancel Reason Description,JoinTree_1.CI_PAY_CAN_RSN_L,DESCR,,
1.) Description,Tender Control Balanced By (Name),JoinTree_1,TNDR_CTL_BAL_USER_NAME,,
1.) Description,Tender Control Status Description,JoinTree_1.CI_LOOKUP_VAL_L_1,FIELD_VALUE,,
1.) Description,Tender Control User (Name),JoinTree_1,TNDR_CTL_USER_NAME,,
1.) Description,Tender Status Description,JoinTree_1.CI_LOOKUP_VAL_L,DESCR,,
1.) Description,Tender Type Description,JoinTree_1.CI_TENDER_TYPE_L,DESCR,,
1.) Description,Tender Source Description,JoinTree_1.CI_TNDR_SRCE_L,DESCR,,
1.) Formulas,Days Old,JoinTree_1,DAYS_OLD,,
1.) Formulas,Distinct Payment Event ID,JoinTree_1,PAY_EVENT_ID_DISTINCT,,
1.) Formulas,Distinct Pay Tender ID,JoinTree_1,PAY_TENDER_ID_DISTINCT,,
1.) Formulas,Distnct Payor Account ID,JoinTree_1,ACCT_ID_DISTINCT,,
1.) Formulas,Payor (Name),JoinTree_1.CI_PER_NAME,ENTITY_NAME_UPR,,
