DEVICE_CONFIG_EFFECT_DTTM,ASSET_CREATION_DT,SERIAL_NUMBER,BILL_CYCLE,CURRENT_DISPOSITION,CURRENT_DISP_DT,MTR_SPEC,SPID,SP_TYPE,MTR_SITE_ID,PREM_ID,PREM_ADDR,PIN,CURRENT_LOC_ORG_ID
2004-07-07-12.07.00,7/6/04,19814746,03,NI-INSTORE,11/18/25,SM-DISC-B58,322522598600,WT-RES,7334-WT-000,7183560865,467 E BANK ST,FDL-15-17-11-12-328-00,
2004-09-23-12.09.00,9/22/04,29472330,02,NI-INSTORE,4/21/25,SM-DISC-B58,948497098600,WT-RES,22462-WT-000,2990394614,603 WESTERN AVE,FDL-15-17-16-12-367-00,
2004-10-11-12.10.00,10/10/04,19814863,01,NI-INSTORE,11/26/25,SM-DISC-B58,107834024200,WT-RES,17594-WT-000,0802851254,535 E 10TH ST,FDL-15-17-14-42-311-00,
2004-10-28-12.10.00,10/27/04,29130797,01,NI-INSTORE,3/21/25,SM-DISC-B75,849813006300,WT-RES,12824-WT-000,5590940676,434 DEWBERRY DR,FDL-15-17-13-42-339-00,
2004-11-08-12.11.00,11/7/04,19814784,01,NI-INSTORE,9/26/25,SM-DISC-B58,919250067000,WT-RES,14150-WT-000,3662232189,52 LALLIER LN,FDL-15-17-14-14-847-00,
2004-11-30-12.11.00,11/29/04,29472470,01,NI-INSTORE,10/3/25,SM-DISC-B58,600615725300,WT-RES,17418-WT-000,3406800541,546 BOYD ST,FDL-15-17-14-41-129-00,
2004-12-14-12.12.00,12/13/04,29472485,01,NI-INSTORE,11/6/25,SM-DISC-B58,307132908400,WT-RES,25190-WT-000,4514559718,61 WAKAWN AVE,FDL-15-17-23-12-263-00,
2004-12-28-12.12.00,12/27/04,29472537,03,NI-INSTORE,12/4/25,SM-DISC-B58,184433625500,WT-RES,8138-WT-000,8217308095,287 E MC WILLIAMS ST,FDL-15-17-11-21-117-00,
2005-01-17-12.01.00,1/16/05,29472519,01,NI-INSTORE,9/4/25,SM-DISC-B58,055324226400,WT-RES,21684-WT-000,1432987398,81 14TH ST,FDL-15-17-15-44-871-00,
2005-01-20-12.01.00,1/19/05,29130811,01,NI-INSTORE,11/14/25,SM-DISC-B75,978563655400,WT-RES,25398-WT-000,7635912342,917 MEQUON AVE,FDL-15-17-23-14-761-00,
