domain_name,workstream,join_tree_id,join_sequence,join_type,left_table,right_table,join_expression
Bill_Segment___Domain,Billing and Rates,JoinTree_1,25,leftOuter,CI_BSEG_READ,CI_TOU_L,CI_BSEG_READ.TOU_CD == CI_TOU_L.TOU_CD and CI_TOU_L.LANGUAGE_CD == 'ENG'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,26,leftOuter,CI_BSEG_READ,CI_TOU_L_1,CI_BSEG_READ.FINAL_TOU_CD == CI_TOU_L_1.TOU_CD and CI_TOU_L_1.LANGUAGE_CD == 'ENG'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,27,leftOuter,CI_BSEG_READ,CI_SQI_L,CI_BSEG_READ.SQI_CD == CI_SQI_L.SQI_CD and CI_SQI_L.LANGUAGE_CD == 'ENG'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,28,leftOuter,CI_BSEG_READ,CI_SQI_L_1,CI_BSEG_READ.FINAL_SQI_CD == CI_SQI_L_1.SQI_CD and CI_SQI_L_1.LANGUAGE_CD == 'ENG'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,29,leftOuter,CI_BSEG_SQ,CI_UOM_L_2,CI_BSEG_SQ.UOM_CD == CI_UOM_L_2.UOM_CD and CI_UOM_L_2.LANGUAGE_CD == 'ENG'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,30,leftOuter,CI_BSEG_SQ,CI_TOU_L_2,CI_BSEG_SQ.TOU_CD == CI_TOU_L_2.TOU_CD and CI_TOU_L_2.LANGUAGE_CD == 'ENG'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,31,leftOuter,CI_BSEG_SQ,CI_SQI_L_2,CI_BSEG_SQ.SQI_CD == CI_SQI_L_2.SQI_CD and CI_SQI_L_2.LANGUAGE_CD == 'ENG'
Billed_Usage_SQ_Snapshot___Domain,Billing and Rates,BSEG_SQ_USAGE_RPT_CURR,1,single_table,BSEG_SQ_USAGE_RPT_CURR,,Single-table domain on BSEG_SQ_USAGE_RPT_CURR
Billed_Usage_Snapshot___Domain,Billing and Rates,BSEG_BILLED_USAGE_RPT_CURR,1,single_table,BSEG_BILLED_USAGE_RPT_CURR,,Single-table domain on BSEG_BILLED_USAGE_RPT_CURR
SC_Unbilled_Billing_Domain,Billing and Rates,JoinTree_1,1,leftOuter,SC_CUS_CONTACT,SC_BILLS_IN_ERROR,SC_CUS_CONTACT.ACCT_ID == SC_BILLS_IN_ERROR.ACCT_ID
SC_Unbilled_Billing_Domain,Billing and Rates,JoinTree_1,2,inner,SC_BILLS_IN_ERROR,CI_BSEG,SC_BILLS_IN_ERROR.BILL_ID == CI_BSEG.BILL_ID
SC_Unbilled_Billing_Domain,Billing and Rates,JoinTree_1,3,leftOuter,CI_BSEG,CI_BSEG_EXCP,CI_BSEG.BSEG_ID == CI_BSEG_EXCP.BSEG_ID
